01391351-a	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
02583043-a	cinema
00126264-v	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
00976653-v	cinema telecommunication commerce theatre photography enterprise
01224744-v	buildings rugby astronautics factotum electrotechnology numismatics person telephony mechanics rowing skiing nautical engineering publishing home music tourism commerce photography enterprise telegraphy furniture tv computer_science industry aviation electricity art vehicles transport atomic_physic optics electronics cinema hydraulics military telecommunication radio railway cycling sub artisanship
00174379-a	cinema acoustics radio tv
07251003-n	religion cinema telecommunication theatre enterprise
00056930-v	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy betting social card music biology astrology baseball post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology insurance nautical engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby sociology philosophy racing school money psychoanalysis finance university play genetics entomology boxing theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment geology home humanities tennis wrestling social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
06793426-n	pedagogy painting cinema theatre enterprise
06888345-n	cinema
10753779-n	cinema theatre
15278281-n	astronautics electrotechnology telephony physics metrology engineering music topography telegraphy gas mathematics furniture tv computer_science electricity optics electronics physiology cinema military telecommunication acoustics radio statistics
00383952-n	time_period cinema psychiatry telecommunication photography
06615026-n	racing cinema telecommunication sociology theatre
00517418-n	cinema tourism free_time tv
01472790-a	telecommunication cinema art theatre
06347588-n	racing tv cinema electrotechnology telecommunication sociology theatre radio+tv
10564098-n	telecommunication cinema theatre
